School,Director(s),Grade,,Judge 1,Judge 2,Judge 3,SR,Overall,District,Level
Academy at Lincoln Symphonic Band,Jonathan Parnell,I/II,,III,III,III,n/a,Average,Central,MS
A.L. Stanback 7th & 8th Grade Band,J. Michael Capps,II,,I,I,I,I,Superior,Central,MS
Asheboro High School Symphonic Band,Tucker Smith,IV,,I,I,II,I,Superior,Central,HS
Asheboro High School Symphonic Wind Ensemble,Phil Homiller,V,,I,I,I,I,Superior,Central,HS
Brogden Advanced Band,Colin Tapp,II,,II,II,II,I ,Excellent,Central,MS
Brogden Intermediate Band,Colin Tapp,I,,II,II,II,I,Excellent,Central,MS
Carrboro Symphonic Band,Casey Spillman,IV,,II,III,III,I,Excellent,Central,HS
Cedar Ridge Symphonic Band,Kristen Moore,IV,,II,II,II,I,Excellent,Central,HS
Cedar Ridge Wind Ensemble,Kristen Moore,V/VI,,I,II,II,I,Superior,Central,HS
C.E. Jordan Symphonic Band,Cameron Garris,V,,II,II,II,I ,Excellent,Central,HS
Chatham County Middle School Grade 8 Band,Noah Marcus,II,,III,III,III,III,Average,Central,MS
Cornerstone Charter Academy High School Band,Jason Barclift,IV,, II,I,II,I,Superior,Central,HS
Cornerstone Charter Academy Intermediate Band,Jason Barclift,II,,I,I,I,I,Superior,Central,MS
Culbreth 7th Grade Band,Matt Nedimyer,II,,II,II,II,I,Excellent,Central,MS
Culbreth 8th Grade Band,Matt Nedimyer,III,,II,II,II,I,Excellent,Central,MS
Durham School of the Arts High School Wind Ensemble,Ken Davis,V,,I,I,I,I,Superior,Central,HS
Durham School of the Arts Middle School Wind Ensemble,Anthony Amos / Susan Townsend,II,,I,I,I,I ,Superior,Central,MS
Durham School of the Arts Symphonic Band,Anthony Amos / Susan Townsend,III,,I,I,I,I,Superior,Central,HS
East Chapel Hill Symphonic Band,Ryan Ellefsen,V,,I,I,I,I,Superior,Central,HS
Eastern Randolph High Schol Symphonice Band,Emily Scotton,III,,II,II,II,I,Excellent,Central,HS
Falls Lake Firebird Wind Ensemble,Jaron Cox,III,C/O,co,co,co,co,Comments,Central,MS
George Moses Horton Middle School ,Kevin Crumley,II,,II,II,II,I,Excellent,Central,MS
Githens Band,Matthew DiDonna,II,,III,III,III,I,Average,Central,MS
Gravelly 7th & 8th Grade Band,Brad Landess,II,,II,III,III,I,Excellent,Central,MS
Grimsley Concert Band,Zach Baker / Jeremy Ray,III,C/O,co,co,co,co,Comments,Central,HS
Grimsley Wind Ensemble,Jeremy Ray,V,,I,I,I,I,Superior,Central,HS
Guy B. Phillips 8th Grade Concert Band,Ashley Sample,II,,I,I,I,I,Superior,Central,MS
Jordan Matthews High School Concert Band,J.C. Harper,II/III,,II,III,III,I,Excellent,Central,HS
Kernodle Middle School Band,Katie Martin,II,,co,co,co,co,Comments,Central,MS
Kiser 7th & 8th Grade Band,Tammy R. White,II,,I,I,I,I,Superior,Central,MS
Lakewood Montessori Concert Band,Jack Salter,I/II,,IV,IV,IV,n/a,Below Average,Central,MS
Margaret B. Pollard 8th Grade Band,Rebecca Clemens,II/III,,I,I,I,I,Superior,Central,MS
Millbrook Wind Ensemble,Avery Payne,MW,,I,I,I,I,Superior,Central,HS
North Asheboro Middle School Combined Ensemble,Janet Longerbeam,II,,II,II,II,I,Excellent,Central,MS
Northern Guilford High School Concert Band,Kiyoshi Carter,III,,co,co,co,co,Comments,Central,HS
Northern High School Wind Ensemble,Kiyoshi Carter,IV,,I,I,I,I,Superior,Central,HS
Northern Middle School 7th Grade Band,Ben Keither,II,,II,II,II,I ,Excellent,Central,MS
Northwest Guilford High School Concert Band,Brian McMath / Drew Brooks,III,,I,I,I,I,Superior,Central,HS
Northwest Guilford High School Symphonic Band,Brian McMath / Drew Brooks,IV/V,,I,I,I,I,Superior,Central,HS
Northwest Guilford High School Wind Ensemble,Brian McMath / Drew Brooks,VI,,I,I,I,I,Superior,Central,HS
Northwest Guilford Middle School 7th Grade Band,Drew Brooks / Elizabeth Cox,I/II ,,I,I,I,n/a,Superior,Central,MS
Northwest Guilford Middle School 8th Grade Band,Elizabeth Cox / Drew Brooks,II,,I,II,II,I,Superior,Central,MS
Northwood High School Concert Band,Hagan Zoellers ,II/III,,II,II,II,I,Excellent,Central,HS
Oberlin Magnet 7th / 8th Grade Band,Audrey Yosai,II,,II,II,II,I,Excellent,Central,MS
Orange 7th & 8th Grade Band,Tanya Murphy,II,,I,I,I,I,Superior,Central,MS
Orange Symphonic Band,Jacqueline Johnson,III,,II,II,II,I,Excellent,Central,HS
Orange Wind Ensemble,Jacqueline Johnson,V,,I,I,I,I,Superior,Central,HS
Page High School Wind Ensemble,Eddie Deaton,V,,I,I,II,I,Superior,Central,HS
Person Concert Band,Sarah Baker,II/III,C/O,co,co,co,co,Comments,Central,HS
Ragsdale High School Wind Ensemble,Andy Oldham,IV,,I,I,I,I,Superior,Central,HS
Randleman High School Symphonic Band,Kyla Barton,III,,II,II,III,I,Excellent,Central,HS
"Ravenscroft 6th, 7th & 8th Grade Band",Dr. Kelly Nivision / Matthew Parunak,I/II,,II,II,II,n/a,Excellent,Central,MS
Riverside Concert Band,Steven Mann,III,C/O,co,co,co,co,Comments,Central,HS
Riverside Symphonic Band,Steven Mann,IV,,I,I,I,I,Superior,Central,HS
Rockingham County Middle School Jaguar Band,Brian Otter,II,,I,I,I,I,Superior,Central,MS
Seaforth High School Concert Band,Keith A. Gilbert,III,,I,I,I,I,Superior,Central,HS
South Asheboro Middle School 8th Grade Band,Susan Butler,II,,II,II,I,I,Superior,Central,MS
South Granville Concert Band,Bradley Maston,III,,III,III,III,I,Average,Central,HS
Southeast Guilford High School Concert Band,Travis Pike,III,,II,II,II,I,Excellent,Central,HS
Southern Alamance Concert Band,Ashton Albright,III,,I,I,I,I,Superior,Central,HS
Southwest Guilford High School Concert Band,Joseph Cox,III,,II, II,II,I,Excellent,Central,HS
Southwest Guilford High School Wind Ensemble,Joseph Cox,V,,II,III,III,I,Excellent,Central,HS
Southwest Guilford Middle School 8th Grade Band,Stephanie Linville,II,,III,III,II,I,Excellent,Central,MS
Southwestern Randolph High School Cougar Band,Alana Rickert,III,,co,co,co,co,Comments,Central,HS
Southwestern Randolph Middle School Cougar Band,Daniel Cline,II,,III,III,III,II,Average,Central,MS
Trinity Middle School 6th Grade Band,Chris Ferguson,I,,I,I,I,I,Superior,Central,MS
Trinity Middle School 7th and 8th Grade Bands,Chris Ferguson,II/III,,I,I,II,I,Superior,Central,MS
Walter M. Williams Symphonic Band,Rose Diaz,IV,,II,II,II,I,Excellent,Central,HS
Wheatmore High School Concert Band,Chrissy Eberle,IV,,I,II,II,I,Superior,Central,HS
Wheatmore Middle School Wind Ensmble,Josh Morgan,II,,I,I ,II,I,Superior,Central,MS
Alston Ridge Middle School Symphonic Band,Steven Kuni,III,,I,I,II,I,Superior,East Central,MS
Apex Friendship High School Concert Band,Paul Rowe,IV,,I ,II,I,I,Superior,East Central,HS
Apex Friendship High School Wind Ensemble,Paul Rowe,VI,,I,I,I,I,Superior,East Central,HS
Apex High School Concert Band 1,Daniel Jarvis,IV,,II,I,I,I,Superior,East Central,HS
Apex High School Concert Band 2,Daniel Jarvis,V,,I,I,I,I,Superior,East Central,HS
Apex High School Wind Ensemble,Daniel Jarvis,VI,,I,I,I,I,Superior,East Central,HS
Apex Middle School Eighth Grade Advanced Band,Helen A. Bishop,III,,I,I,I,I,Superior,East Central,MS
Broughton High School Wind Ensemble,Margie Harrison,VI,,I,I,I,I,Superior,East Central,HS
Cardinal Gibbons High School Wind Ensemble,Mark Cashin,V,,II,II,II,I,Excellent,East Central,HS
Cary Academy 7th and 8th Grade Band,Les Turner,II,,II,II,II,I,Excellent,East Central,MS
Cary High School Concert Band,Chris Foster,IV,,II,II,II,I,Excellent,East Central,HS
Cary High School Symphony Band,Chris Foster,VI,,III,III,III,I,Average,East Central,HS
Davis Drive Middle School 7th Grade Concert Band,Laura Burrell,II,,I,I,I,I,Superior,East Central,MS
Davis Drive Middle School 8th Grade Concert Band,Laura Burrell,II,,I,I,I,I,Superior,East Central,MS
Durant Road Middle School Advanced Band,Kelly Durham,IV,,co,co,co,co,Comments,East Central,MS
East Cary Magnet Middle School Advanced Band,Carolina De La Rosa Gonzalez,II,,co,co,co,co,Comments,East Central,MS
East Millbrook Magnet Middle School Concert Band,Francesco Erice,I,,II,II,II,n/a,Excellent,East Central,MS
East Wake High School Concert Band,Tenay Harrell,III,,I,I,I,I,Superior,East Central,HS
Enloe High School Symphonic Band,Robert Hunter,IV,,I,I,I,I,Superior,East Central,HS
Enloe High School Wind Ensemble,Robert Hunter,VI/M,,I,I,I,I,Superior,East Central,HS
F. J. Carnage Middle School Concert Band,Matthew Pellas,II,,I,II,II,I,Superior,East Central,MS
F. J. Carnage Middle School Symphonic Band,Matthew Pellas,IV,,I,I,I,I,Superior,East Central,MS
Fuquay Varina High School Symphonic Band,Matt Edwards,III,,II,II,II,I,Excellent,East Central,HS
Fuquay Varina High School Wind Ensemble,Matt Edwards,V,,I,I,I,I,Superior,East Central,HS
Fuquay-Varina Middle School 8th Grade Band,Cole Merricks,II,,II,II,II,I,Excellent,East Central,MS
Garner High School Concert Band,Patrick Shipp,II,,I,I,I,I,Superior,East Central,HS
Garner High School Wind Ensemble,Patrick Shipp,IV,,I,I,I,I,Superior,East Central,HS
Green Hope High School Concert Band,Creighton Flowers,III,,I,I,I,I,Superior,East Central,HS
Green Hope High School Symphonic Band,Creighton Flowers,V,,I,I,I,I,Superior,East Central,HS
Green Hope High School Wind Ensemble,Creighton Flowers,VI,,I,I,I,I,Superior,East Central,HS
Green Level High School Concert Band,Brian Myers,IV,,I,I,I,I,Superior,East Central,HS
Green Level High School Symphonic Band,Brian Myers,V,,I,I,I,I,Superior,East Central,HS
Green Level High School Wind Ensemble,Brian Myers,VI,,I,I,I,I,Superior,East Central,HS
Heritage Middle School 8th Grade Band,Eric Stauffer,III,,II,II,II,I,Excellent,East Central,MS
Holly Grove Middle School Concert Band,Adam Capps,III,,II,I,II,I,Superior,East Central,MS
Holly Springs High School Concert Band,Michael Biasi,IV,,II,II,II,I,Excellent,East Central,HS
Holly Springs High School Wind Ensemble,Michael Biasi,VI,,II,II,II,I,Excellent,East Central,HS
Leesville Road High School Concert Band,Alyssa Colburn / Josh Cvijanovic,V/VI,,II,II,II,I,Excellent,East Central,HS
Leesville Road High School Intermediate Band,Alyssa Colburn / Josh Cvijanovic,III,,I,I,I,I,Superior,East Central,HS
Leesville Road High School Symphonic Band,Alyssa Colburn / Josh Cvijanovic,VI,,I,I,I,I,Superior,East Central,HS
Leesville Road Middle School Concert Band,Cristina Rekeibe,III,,I,I,I,I,Superior,East Central,MS
Ligon Magnet Middle School Symphonic Band,Renee Todd,I/II,,I,I,I,I,Superior,East Central,MS
Ligon Magnet Middle School Wind Ensemble,Renee Todd,IV,,I,I,I,I,Superior,East Central,MS
Middle Creek High School Symphonic Band,Page Newsome,II/III,,II,II,II,II,Excellent,East Central,HS
Middle Creek High School Wind Ensemble,Page Newsome,V/VI,,II,II,II,I,Excellent,East Central,HS
Millbrook High School Symphonic Band,Avery Payne,IV,,I,II,I,I,Superior,East Central,HS
Panther Creek High School Concert Band,Andrew Weiss,III,,I,I,I,I,Superior,East Central,HS
Panther Creek High School Symphonic Band,Andrew Weiss,V,,I,I,I,I,Superior,East Central,HS
Panther Creek High School Wind Ensemble,Andrew Weiss,VI/M,,I,I,I,I,Superior,East Central,HS
Pine Hollow Middle School Eighth Grade Band,Tony Powell,II,,I,I,I,I,Superior,East Central,MS
Ravenscroft Upper School Band,Kelly Nivison / Matthew Parunak,V,,I,I,I,I,Superior,East Central,HS
Rolesville High School Concert Band,Michael Mayer,II,,I,I,I,I,Superior,East Central,HS
Rolesville High School Symphonic Band,Michael Mayer,IV,,II,II,II,I,Excellent,East Central,HS
Rolesville Middle School Concert Bnad,Tim Kohring,II,,II,II,II,I,Excellent,East Central,MS
Salem Middle School Advanced Band,Casey Duryea,III,,II,II,II,I,Excellent,East Central,MS
Sanderson High School Concert Band,Mitchell Townley,IV,,co,co,co,co,Comments,East Central,HS
Sanderson High School Wind Ensemble,Mitchell Townley,V/VI,,I,I,I,I,Superior,East Central,HS
Southeast Raleigh High School Symphonic Band,Eugene Grandy,IV,,II,I,I,I,Superior,East Central,HS
Triange Math and Science Academy Middle School Advanced Band,Greg Carpenter,I/II,,co,co,co,co,Comments,East Central,MS
Triangle Math and Science Wind Ensemble,Greg Carpenter,III/IV,,I ,I,I,I,Superior,East Central,HS
Wake Christian High School Symphonic Wind Ensemble,Todd Medlin,IV,,III,III,III,III,Average,East Central,HS
Wakefield High School Wind Ensemble,Bobby McFarland,V,,I,I,I,I,Superior,East Central,HS
Wake Forest High School Wind Ensemble,Brandon Martel,V,,III,III,III,I,Average,East Central,HS
Wendell Middle School Concert Band,Cat Slade,II,,co,co,co,co,Comments,East Central,MS
West Lake Middle School Concert Band,Guadelupe De La Rosa Gonzalez,II,,co,co,co,co,Comments,East Central,MS
Ashley High School Concert Band,Robert Parker,III,,I,II,I,I,Superior,Eastern,HS
Ashley High School Wind Ensemble,Robert Parker,V,,I,I,I,I,Superior,Eastern,HS
Bear Grass Charter School,Tiffany Hassell-Abel,III/IV,,I,I,I,I,Superior,Eastern,MS
Beaufort Middle School Concert Band ,Noelle Hutcheson,II,,II,II,II,I,Excellent,Eastern,MS
Beddingfield High School,David Allen,III,,II,II,II,I,Excellent,Eastern,HS
Brewster Middle School Concert Band,Beverly Goehring,II,,III,III,III,II,Average,Eastern,MS
Broad Creek Middle Symphonic Band,David B. Edmonds,III,,I,I,I,I,Superior,Eastern,MS
Camden High School Symphonic Winds,Chris Whitehurst,III/IV,,I,I,II,I,Superior,Eastern,HS
Camden Middle School,Rose Lee,II,,I,I,II,I,Superior,Eastern,MS
Cape Hatteras Secondary School High School,Sean McCroskey,III,,II,II,II,I,Excellent,Eastern,HS
Chaloner Middle School,Christian Boletchek,I,,II,I,II,n/a,Excellent,Eastern,MS
Croatan High School Wind Ensemble,Mike Self,VI/MW,,I,I,I,I,Superior,Eastern,HS
Currituck County High School Concert Band,John Weekes,III,,II,II,II,I,Excellent,Eastern,HS
Currituck County High School Wind Ensemble,John Weekes,V,,I,I,II,I,Superior,Eastern,HS
Currituck Middle School,Pat Koppenhaver,II,,II,III,II,I,Excellent,Eastern,MS
D.H. Conley Conert Band,Caleb Espinosa,II/III,,I,I,I,I,Superior,Eastern,HS
D.H. Conley Wind Ensemble,Caleb Espinosa,IV,,II,II,II,I,Excellent,Eastern,HS
Dixon High School Concert Band,Victor Saenz,III,,II,II,II,I,Excellent,Eastern,MS
Dixon High School Wind Ensemble,Victor Saenz,IV/V,,I,I,II,I,Superior,Eastern,HS
Dixon Middle School  7th/8th Grade Band,Karen Matthews,II,,II,II,II,I,Excellent,Eastern,MS
Down East Middle School 7th & 8th Grade Band,Windy Baird,II,,I,II,I,II,Superior,Eastern,MS
East Carteret High School Concert Band,Ashley Wright,IV,,I,II,II,I,Superior,Eastern,HS
East Carteret High School Symphonic Band,Ashley Wright,VI,,I,I,I,I,Superior,Eastern,HS
Emma B. Trask Middle School Symphonic Band,Casey Black,II,,II,II,II,I,Excellent,Eastern,MS
Fike High School,Elizabeth Hawley,IV,,I,I,I,I,Superior,Eastern,HS
Gates County High School,Stephen Stiltner,III,,co,co,co,co,Comments,Eastern,HS
Grifton School,Scott Pagonas,II,,II,II,II,II,Excellent,Eastern,MS
Grover C. Fields  Middle School combined 7th and 8th,Mark Lorek,III,,I,I,I,I,Superior,Eastern,MS
Grover C. Fields Middle School 7th Grade ,Mark Lorek,II,,I,I,I,I,Superior,Eastern,MS
H.J. MacDonald Middle School Concert Band,Amanda Landis Whitford,II,,I,I,I,I,Superior,Eastern,MS
Havelock Middle School Concert Band,Jeb Lamm,II,,III,III,III,I,Average,Eastern,MS
Havelock High School Symphonic Band,Jorge Benitez & Jodi Campbell,IV,,I,I,I,I,Superior,Eastern,HS
Havelock High School Wind Ensemble,Jorge Benitez & Jodi Campbell,VI/MW,,I,I,I,I,Superior,Eastern,HS
Heide Trask High School Symphonic Band,Kayla Marshburn,III,,co,co,co,co,Comments,Eastern,HS
Hunters Creek Middle School Concert Band,Kristina McRaney,II,,I,I,I,I,Superior,Eastern,MS
Jacksonville Commons Middle School 7th and 8th Grade Band ,Maria Flowers,II,,IV,IV,IV,I,Below Average,Eastern,MS
Jacksonville High School Concert Band,Jessica Blanchet,III,,co,co,co,co,Comments,Eastern,HS
Jacksonville High School Wind Ensemble,Jessica Blanchet,IV,,co,co,co,co,Comments,Eastern,HS
James B. Hunt High School,Frank Jones,III/IV,,I,I,I,I,Superior,Eastern,
J.H. Rose Concert Band,Raekwon Dupree,III,,II,II,II,I,Excellent,Eastern,HS
J.H. Rose Wind Ensemble,Matt Howard,V,,II,I,I,I,Superior,Eastern,HS
John A. Holmes High School,Joshua Poyner,III,,I,I,I,I,Superior,Eastern,HS
John T. Hoggard High School Concert Band,Rod Reed,IV,,I,I,I,I,Superior,Eastern,HS
Morehead City Middle School 7th/8th Grade Band,Jason Robison,III/IV,,I,I,I,I,Superior,Eastern,MS
Moyock Middle School Advanced Band,Sarah Levin,II,,II,II,II,I,Excellent,Eastern,MS
Murray Middle School Falcon Band,Jessica Meade,III,,II,II,II,I,Excellent,Eastern,MS
Myrtle Grove Middle School 7th Grade Band,Jacob Stephens,I,,II,II,II,n/a,Excellent,Eastern,MS
New Bern High School Wind Ensemble,Chris Elbing & Colin McKeon,VI,,II,II,II,I,Excellent,Eastern,HS
New Bern High School Symphonic Band,Colin McKeon & Chris Elbing,IV,,II,II,II,I,Excellent,Eastern,HS
New Bridge Middle School 7th Grade Band,Steven Kosch,II,,III,II,II,I,Excellent,Eastern,MS
New Bridge Middle School 8th Grade Band,Steven Kosch,II,,III,III,II,II,Excellent,Eastern,MS
Newport Middle School 7/8 Grade Band,David Stroud,II/III,,I,I,I,I,Superior,Eastern,MS
Noble Middle School Concert Band,Patti Knauf,II,,III,III,III,I,Average,Eastern,MS
Northeastern High School,Monte Griffin,III,,III,III,III,II,Average,Eastern,HS
Northern Nash Wind Ensemble,Kyler Zary,V/VI,,I,II,II,I,Superiod,Eastern,HS
Northside High School Concert Band,Aaron Kingsberry,IV,,I,I,I,II,Superior,Eastern,HS
Pasquotank County High School,Nicholas Stanley,III/IV,,II,I,II,I,Superior,Eastern,HS
Perquimans High School,Evan Copeland,III,,I,II,II,I,Superior,Eastern,HS
Perquimans Middle School,Katie Copeland,II,,II,I,II,I,Superior,Eastern,MS
Red Oak 7th Grade Band,Jimmie Smith,II,,I,I,I,I,Superior,Eastern,MS
Red Oak 8th Grade Band,Jimmie Smith,II,,II,II,I,I,Superior,Eastern,MS
Richlands High School Concert Band,Wes Adams,III,,II,II,II,II,Excellent,Eastern,HS
Riverside High School Symphonic Band,Alisha Cardwell,IV,,I,I,I,I,Superior,Eastern,HS
Riverside Middle School,Kim Fay,I,,co,co,co,n/a,Comments,Eastern,MS
Roanoke Rapids Concert Band,Laura Manning,III,,III,III,III,I,Average,Eastern,HS
Roanoke Rapids Symphonic Band,Laura Manning,V,,II,II,II,I,Excellent,Eastern,HS
Rocky Mount Middle School,Charlene Outland,II,,II,II,II,I,Excellent,Eastern,MS
Southern Nash High School Wind Ensemble,Matthew Ray,IV,,II,I,II,I,Superior,Eastern,HS
Southern Nash Middle School,Lauren Howell,II,,I,I,I,I,Superior,Eastern,MS
South Central High School,Matinzicio Edmondson,III,,II,II,II,I,Excellent,Eastern,HS
Southwest Middle School Band,Caleb Lanning,I,,III,III,III,n/a,Average,Eastern,MS
Southwest High School Stallion Concert Band ,Lance Barton,II/III,,II,II,I,I,Superior,Eastern,HS
Springfield Middle School,Paul Seigler,I,,I,I,I,n/a,Superior,Eastern,MS
Surf City Middle School Band,Trevor Judy,II,,III,III,III,II,Average,Eastern,MS
Swansboro Middle School 8th Grade Band,Zachary Cummings,II,,I,I,I,I,Superior,Eastern,MS
Swansboro High School Symphonic Band ,Kristen Graham ,IV,,I,II,I,I,Superior,Eastern,HS
Swansboro High School Wind Ensemble ,Kristen Graham ,VI,,I,II,II,I,Superior,Eastern,HS
Topsail Middle School Concert Band,Bob Norem,II,,III,III,III,II,Average,Eastern,MS
Topsail High School Symphonic Band,Jake Wentzek,V,,I,I,I,I,Superior,Eastern,HS
Topsail High School Wind Ensemble,Jake Wentzek,III,,II,II,I,I,Superior,Eastern,HS
Trexler Middle School Wind Ensemble,Greg Shreckengost,I,,co,co,co,co,Comments,Eastern,MS
Tucker Creek Middle School Eighth Grade Concert Band,Blair Dyal,III,,II,III,III,I,Excellent,Eastern,MS
Tucker Creek Middle School Seventh Grade Concert Band,Blair Dyal,II,,III,III,III,I,Average,Eastern,MS
West Carteret High School Concert Band,Andrew Wright,IV,,I,I,I,I,Superior,Eastern,HS
West Carteret High School Symphonic Band,Andrew Wright,VI,,I,I,I,I,Superior,Eastern,HS
West Craven High School Concert Band,Cory Lipsky & Aaryn Torrance,III,,II,II,I,I,Superior,Eastern,HS
West Craven Middle School Concert Band,Ashley Etheredge & Aaryn Torrance,II,,I,II,II,II,Excellent,Eastern,MS
White Oak High School Symphonic Band,John Russell & Matthew Langford,III,,II,II,II,I,Excellent,Eastern,HS
White Oak High School Wind Ensemble,John Russell & Matthew Langford,V,,II,II,II,I,Superior,Eastern,HS
William R. Davie STEM Academy Middle School,J.J. Garner,II,,III,III,III,II,Average,Eastern,MS
Alexander Central High School Wind Ensemble,Patrick Watkins / Jennifer Weddington,V/VI,,co,co,co,co,Comments,Northwest ,HS
Ashe County High School Symphonic Band,Joshua Mitchell,III,,I,I,I,I,Superior,Northwest ,HS
Asheville Middle School Band,Ana Bulluck / Tina Robinett,III,,I,I,I,I,Superior,Northwest ,MS
Atkins High School Symphonic Band,Justin Sumners / Greg Murphy,III/IV,,I,I,I,I,Superior,Northwest ,HS
Atkins High School Wind Ensemble,Justin Sumners / Greg Murphy,VI,,I,I,I,I,Superior,Northwest ,HS
Avery High School Wind Ensemble,Jeff Hodges / Cameron Owle,I,,co,co,co,co,Comments,Northwest ,HS
Bandys High School Symphonic Band,Jason Partridge,IV,,I,I,I,I,Superior,Northwest ,HS
Belmont Middle School 7th and 8th Grade Band,Carrie Lineberger,I/II,,I,I,II,n/a,Superior,Northwest ,MS
Brawley Middle School Symphonic Band,Sonja Becknell,II,,I,I,II,I,Superior,Northwest ,MS
Bunker Hill High School Symphonic Band,Myron Massey,III,,I,II,II,I,Superior,Northwest ,HS
Bunker Hill High School Wind Ensemble,Myron Massey,V,,III,III,II,I,Excellent,Northwest ,HS
Central Davidson High School Wind Ensemble,Levi Moffe / Wes Richardson,IV/V,,II,II,II,I,Excellent,Northwest ,HS
Central Davidson Middle School 8th Grade Band,Wesley Richardson,II,,I,I,I,I,Superior,Northwest ,MS
Central Wilkes Middle School 7th and 8th Grade Band,Christian Bruce,II,,co,co,co,co,Comments,Northwest ,MS
Chestnut Grove Middle School 7th and 8th Grade Band,Dylan Jones,I/II,,co,co,co,n/a,Comments,Northwest ,MS
Clemmons Middle School Contest Band,Ron Forsh,I,,I,I,I,n/a,Superior,Northwest ,MS
Davie County High School Concert Band,Matthew Brusseau,III,,II,II,II,I,Excellent,Northwest ,HS
Davie County High School Symphonic Band,Matthew Brusseau,IV,,II,II,II,I,Excellent,Northwest ,HS
Davie County High School Wind Ensemble,Matthew Brusseau,VI/MW,,I,I,I,I,Superior,Northwest ,HS
East Burke High School Wind Ensemble,Emily Golden,V,,I,I,I,I,Superior,Northwest ,HS
East Davidson High School Symphonic Band,David Deese / Christina Carter,IV,,II,II,II,I,Excellent,Northwest ,HS
East Davidson High School Wind Ensemble,David Deese / Christina Carter,VI,,I,I,I,I,Superior,Northwest ,HS
East Forsyth High School Concert band,Alex Askew / Parker Dula,II,,II,III,III,I,Excellent,Northwest ,HS
East Forsyth High School Wind Ensemble,Alex AsKew,IV,,II,II,II,I,Excellent,Northwest ,HS
East Wilkes High School Concert Band,Colin Whiteley,III,,I,I,I,I,Superior,Northwest ,HS
EL Brown Middle School 8th Grade Band,Christina Carter / David Deese,II,,II,II,II,I,Excellent,Northwest ,MS
Foard High School Symphonic Band,Adam Reinhardt,V,,II,II,II,I,Excellent,Northwest ,HS
Freedom High School Justice Concert Band,Jonathan Chesson,III,,II,II,II,I,Excellent,Northwest ,HS
Freedom High School Patriot Winds,Jonathan Chesson,V,,III,III,II,I,Excellent,Northwest ,HS
Freedom High School Symphonic Pride,Jonathan Chesson,III,,II,II,II,I,Excellent,Northwest ,HS
Gamewell Middle School 7th and 8th Grade Band,Steve Robison,I/II,,I,I,I,n/a,Superior,Northwest ,MS
Granite Falls Middle School 7th Grade Band,Patrick Haymore,I,,I,I,I,n/a,Superior,Northwest ,MS
Granite Falls Middle School 8th Grade Band,Patrick Haymore,II,,I,I,I,I,Superior,Northwest ,MS
Hanes Middle School 8th Grade Advanced Band,Mary Kathryn Bowman Choat,III/IV,,I,I,I,I,Superior,Northwest ,MS
Heritage Middle School Concert Band,Aaron Poteat,II,,I,II,II,I,Superior,Northwest ,MS
Hibriten High School Symphonic Band,Hunter Soots,IV,,I,I,I,I,Superior,Northwest ,HS
Hickory High School Wind Ensemble,Andrew Hicks,IV/V,,I,I,I,I,Superior,Northwest ,HS
Hudson Middle School 8th Grade Band,Leah Massey,II,,I,I,II,I,Superior,Northwest ,MS
Jimmy C. Draughn High School Symphonic Band,Avery Gifford,III,,II,II,II,II,Excellent,Northwest ,HS
Jimmy C. Draughn High School Wind Ensemble,Avery Gifford,IV,,II,II,I,I,Superior,Northwest ,HS
