School,Director(s),Grade,,Judge 1,Judge 2,Judge 3,SR,Overall,District,Level
Lake Norman High School Symphony Band,Christopher Brown,III/IV,,I,I,I,I,Superior,Northwest ,HS
Lake Norman High School Wind Ensemble,Christopher Brown,VI,,I,I,I,I,Superior,Northwest ,HS
Lakeshore Middle School Band,Kathryn Redling,II,,II,II,II,II,Excellent,Northwest ,MS
Ledford High School Wind Ensemble,Angel Gonzalez,IV,,III,II,II,I,Excellent,Northwest ,HS
Ledford Middle School 7th and 8th Grade Band,Dave Beitzel / Angel Gonzalez,I/II,,co,co,co,n/a,Comments,Northwest ,MS
Liberty Middle School Band,Amy Alexander,II,,I,I,I,I,Superior,Northwest ,MS
Mill Creek Middle School Band,Topher Kane,II,,I,I,I,I,Superior,Northwest ,MS
Mount Airy High School Concert Band,Nick Tirpak,III,,I,I,I,I,Superior,Northwest ,HS
Mount Tabor High School Wind Ensemble,Rebekah Psihountas,IV,,II,I,II,I,Superior,Northwest ,HS
Newton Conover High School Symphonic Band,Andy Escamilla,V,,I,II,II,I,Superior,Northwest ,HS
Newton Conover Middle School Band,Andy Escamilla,II,,II,I,II,I,Superior,Northwest ,MS
North Davidson High School Wind Ensemble,Norian Fordham,IV,,III,III,II,II,Excellent,Northwest ,HS
North Davidson Middle School 8th Grade Band,Paul Jackson / Cathryn Cabanizz,II,,I,I,I,I,Superior,Northwest ,MS
North Davie Middle School 8th Grade Symphonic Band,Sean Nelson,II,,co,co,co,co,Comments,Northwest ,MS
North Forsyth High School Symphonic Band,Christian Orr,II/III,,I,I,I,I,Superior,Northwest ,HS
North Lincoln High School Symphonic Band,Matthew Minick,VI,,I,I,I,I,Superior,Northwest ,HS
Northview Middle School 8th Grade Band,Erika Beal,II,,I,I,I,I,Superior,Northwest ,MS
North Wilkes High School Concert Band,Kira Gileza,II/III,,IV,III,IV,II,Average,Northwest ,HS
North Wilkes Middle School 7th and 8th Grade Band,Kira Gileza,I,,IV,III,IV,n/a,Below Average,Northwest ,MS
Oak Grove High School Concert Band,Mike Howell,III,,I,I,I,I,Superior,Northwest ,HS
Oak Grove High School Wind Ensemble,Mike Howell,VI/MW,,I,I,I,I,Superior,Northwest ,HS
Oak Grove Middle School Advanced Band,Matt Liner,II,,I,I,I,I,Superior,Northwest ,MS
Paisley Magnet School 8th-10th Grade Advanced Band,Noah Brown,II,,III,III,III,II,Average,Northwest ,MS
Robert. L Patton High School Symphonic Band,Chad Higdon,IV,,I,I,I,I,Superior,Northwest ,HS
Robert L. Patton High School Wind Ensemble,Chad Higdon,VI,,I,I,I,I,Superior,Northwest ,HS
Ronald Reagan High School Concert Band,Robert Johnston / Kenneth Tysor,III,,II,I,II,I,Superior,Northwest ,HS
Ronald Reagan High School Symphonic Band,Robert Johnston / Kenneth Tysor,IV,,I,I,I,I,Superior,Northwest ,HS
Ronald Reagan High School Wind Ensemble,Robert Johnston / Kenneth Tysor,VI,,I,I,I,I,Superior,Northwest ,HS
South Caldwell High School Symphonic Band,Jonathan Stafford / Jason Childers,IV,,I,I,I,I,Superior,Northwest ,HS
South Caldwell High School Wind Ensemble,Jason Childers / Jonathan Stafford,V,,I,I,I,I,Superior,Northwest ,HS
South Davie Middle School 8th Grade band,Wesley Allred,II,,II,II,II,I,Excellent,Northwest ,MS
South Iredell High School Wind Ensemble,Steven Sipes,IV,,II,I,II,I,Superior,Northwest ,HS
Southeastern Stokes Middle School 8th Grade Band,Justin Carter,II,,II,II,III,II,Excellent,Northwest ,MS
Statesville High School Concert Band,Emily Gordon,III,,II,III,III,II,Excellent,Northwest ,HS
St.Stephens High School Wind Ensemble,Bruce Boorman,IV,,III,III,III,I,Average,Northwest ,HS
Thomas Jefferson Middle School 8th Grade Band,Adam Joiner / Rebekah Psihountas,III,,II,II,II,I,Excellent,Northwest ,MS
Tyro Middle School 8th Grade Band,Parker Cox / Kendall Bertaux,II,,III,II,III,II,Excellent,Northwest ,MS
Walkertown High School Symphonic Band,Quincy Lundy,IV,,I,I,I,I,Superior,Northwest ,HS
Walkertown 7th - 12th Combined Band,Quincy Lundy,II,,I,I,I,I,Superior,Northwest ,MS
Watauga High School Symphonic Band,Taryn Wooten,III/IV,,I,I,I,I,Superior,Northwest ,HS
West Alexander Middle School 8th Grade Band,Matthew Cochran,II,,co,co,co,co,Comments,Northwest ,MS
West Caldwell High School Concert Band,Jim Shulstad,III,,I,I,I,I,Superior,Northwest ,HS
West Davidson High School Symphonic Band,Kendall Bertaux,III,,II,II,II,I,Excellent,Northwest ,HS
West Forsyth High School Concert Band,Tom Shoemaker,II,,II,II,I,I,Superior,Northwest ,HS
West Forsyth High School Symphonic Band,Tom Shoemaker,III,,III,II,II,I,Excellent,Northwest ,HS
West Forsyth High School Wind Ensemble,Tom Shoemaker,VI,,I,I,I,I,Superior,Northwest ,HS
West Iredell High School Symphonic Band,Chad Evans,III,,II,II,II,I,Excellent,Northwest ,HS
West Stokes High School Band of Excellence,Will Nichols,IV/V,,III,III,III,I,Average,Northwest ,HS
West Wilkes High School Wind Ensemble,Matthew Dauer,III,,I,I,I,I,Superior,Northwest ,HS
"West Wilkes Middle School 6th, 7th, and 8th Grade Band",Matthew Dauer,I/II,,II,II,II,n/a,Excellent,Northwest ,MS
William Ellis Middle School 8th Grade Band,Mandy James,II,,I,II,I,I,Superior,Northwest ,MS
William Lenoir Middle School 7th Grade Band,Terry Reid,II,,I,I,I,I,Superior,Northwest ,MS
William Lenoir Middle School 8th Grade Band,Terry Reid,III,,I,I,I,I,Superior,Northwest ,MS
Woodland Heights Middle School Concert Band,Mike Gomez,I,,II,II,II,n/a,Excellent,Northwest ,MS
Woodland Heights Middle School Symphonic Band,Mike Gomez,II,,I,I,II,I,Superior,Northwest ,MS
Albemarle Road Middle School,Matthew Garris,I,,III,III,III,n/a,Average,South Central,MS
Ardrey Kell High School Wind Ensemble,Chris Tkacik,VI,,I,II,I,I,Superior,South Central,HS
Ashbrook Symphonic Band,Josh Westbrook,IV,,IV,IV,III,II,Average,South Central,HS
Bailey Middle School,Randy Tice,II,,III,III,III,II,Average,South Central,MS
Bessemer City High School Wind Ensemble,Cole Crawford,III/IV,,I,II,II,I,Superior,South Central,HS
Bessemer City Middle School,Timothy Justiss,I,,I,I,I,n/a,Superior,South Central,MS
Burns High School Band,Hoy Colson,IV,,II,III,II,I,Excellent,South Central,HS
Burns Middle School,Shawn Sisler,II,,II,II,I,I,Superior,South Central,MS
Central Cabarrus High School Symphonic Band,Joshua Adams,IV,,I,II,I,I,Superior,South Central,HS
Charles C Erwin Middle School,Sonya Ferguson,I/II,,II,II,I,II,Excellent,South Central,MS
Charlotte Latin Middle School ,Pamela Sweer,I,,II,II,II,n/a,Excellent,South Central,MS
Charlotte Latin Upper School Band,Pamela Sweer,III,,II,II,II,I,Excellent,South Central,HS
Cherryville High School Concert Band,"Mark Ewing, Jr.",III,,III,III,III,I,Average,South Central,HS
Community House Middle School,Kati Shives,I/II,,III,III,III,n/a,Average,South Central,MS
Concord High School Symphonic Band,Ed Harper,III,,II,I,II,I,Superior,South Central,HS
Concord Middle School,Alex Canup,I/II,,II,II,II,n/a,Excellent,South Central,MS
Cox Mill High School Symphonic Band,Adam Singer,III,,I,I,I,I,Superior,South Central,HS
Cox Mill High School Wind Ensemble,Adam Singer,V,,I,I,I,I,Superior,South Central,HS
Cramerton Middle School,Lisa Ratchford,I,,I,II,I,n/a,Superior,South Central,MS
Crestdale Middle School,O'Shae Best,III/IV,,II,II,I,II,Excellent,South Central,MS
Cuthbertson High School Blue Note Winds,Todd Ebert,VI/MW,,I,I,I,I,Superior,South Central,HS
Cuthbertson High School Symphonic Band,Todd Ebert,V/VI,,I,I,I,I,Superior,South Central,HS
Cuthbertson Middle School 7th Grade,Katie Ebert,III,,II,I,I,I,Superior,South Central,MS
Cuthbertson Middle School 8th Grade,Katie Ebert,IV/V,,I,I,I,I,Superior,South Central,MS
David W. Butler High School Symphonic Band,Andrew Francis,II/III,,I,I,I,I,Superior,South Central,HS
David W. Butler High School Wind Ensemble,Andrew Francis,IV/V,,I,I,II,I,Superior,South Central,HS
East Gaston High School Symphonic Band,Brandon Taylor,IV/V,,I,I,I,I,Superior,South Central,HS
East Lincoln High School Wind Ensemble,Dustin Wallace,IV,,II,II,II,I,Excellent,South Central,HS
East Lincoln Middle School,Jennifer Beck,I,,II,II,II,n/a,Excellent,South Central,MS
East Mecklenburg High School Concert Band,Chris Moreau,III,,II,II,II,I,Excellent,South Central,HS
East Mecklenburg High School Symphonic Band,Chris Moreau,IV,,I,I,I,I,Superior,South Central,HS
East Rowan High School Wind Ensemble,Brett Farris,IV,,II,III,III,I,Excellent,South Central,HS
East Union Middle School,Hayden Williams,II,,III,III,III,III,Average,South Central,MS
Forest Hills High School Wind Ensemble,Tracy Humphries,III,,co,co,co,co,Comments,South Central,HS
Forestview High School Concert Winds,Jerry Smalls,III,,III,II,III,I,Excellent,South Central,HS
Forestview High School Symphonic Winds,Jerry Smalls,V,,I,I,II,I,Superior,South Central,HS
Grier Middle School ,Jonathan Kitchens,I,,co,co,co,n/a,Comments,South Central,MS
Harold E. Winkler Middle School,Isaac Brewer,II,,I,I,I,II,Superior,South Central,MS
Harris Road Middle School (6th Grade),Leah Pfeiffer,I,,I,I,I,n/a,Superior,South Central,MS
Harris Road Middle School (7th Grade),Leah Pfeiffer,II,,I,I,I,I,Superior,South Central,MS
Harris Road Middle School (8th Grade),Leah Pfeiffer,III,,I,I,I,II,Superior,South Central,MS
Hickory Ridge High School Concert Band,Chris White / David Rivero,IV,,I,I,I,I,Superior,South Central,HS
Hickory Ridge High School Symphonic Band,David Rivero,IV,,I,I,I,I,Superior,South Central,HS
Hickory Ridge Middle School (7th Grade),Jennifer Merry / Nick Carl,II,,II,I,II,I,Superior,South Central,MS
Hickory Ridge Middle School (8th Grade),Jennifer Merry / Nick Carl,III,,I,I,I,I,Superior,South Central,MS
Hopewell High School Wind Ensemble,Curtis Bell,IV,,III,III,III,I,Average,South Central,HS
Hough High School Wind Ensemble,Quinten Wrenn,IV/V,,II,II,III,I,Excellent,South Central,HS
Jay M. Robinson High School Beginning Band,Drew Carter,II,,I,I,I,I,Superior,South Central,HS
Jay M. Robinson High School Wind Ensemble,Drew Carter,V/VI,,I,I,I,I,Superior,South Central,HS
J.N. Fries Middle School,Kellie Carl,II,,III,III,III,I,Average,South Central,MS
J.T. Williams Montessori School,Michael Sanders,I/II,,III,III,III,n/a,Average,South Central,MS
Julius Chambers High School Wind Ensemble,Joseph Wilson,II,,III,III,III,II,Average,South Central,HS
Kannapolis Middle School,Jessie Peterson,I/II,,co,co,co,n/a,Comments,South Central,MS
Kings Mountain High School Concert Band,Kevin Clary,III/IV,,I,I,I,I,Superior,South Central,HS
Kings Mountain High School Blazer Band,Andy Washburn,VI,,I,I,I,I,Superior,South Central,HS
Kings Mountain Middle School (7th Grade),Kevin Clary,I/II,,II,II,I,n/a,Excellent,South Central,MS
Kings Mountain Middle School (8th Grade),Andrew Washburn,II,,I,I,I,II,Superior,South Central,MS
Lake Norman Charter Middle School,Dylan Scaringelli,I,,II,II,II,n/a,Excellent,South Central,MS
Lake Norman Charter School Wind Ensemble,Kaleb Reavis,IV,,III,III,III,I,Average,South Central,HS
Lincolnton High School Symphonic Band,William Fisher,IV/V,,II,II,II,I,Excellent,South Central,HS
Lincolton Middle School,Joshua Belvin,II,,III,III,II,I,Excellent,South Central,MS
Marvin Ridge High School Concert Band,Keith James,IV/V,,II,II,II,I,Excellent,South Central,HS
Marvin Ridge Middle School (7th Grade),LaToya Johnson,I,,III,III,III,n/a,Average,South Central,MS
Marvin Ridge Middle School (8th Grade),LaToya Johnson,II,,III,III,III,I,Average,South Central,MS
Mint Hill Middle School,David Lail,I/II,,I,I,I,n/a,Superior,South Central,MS
Monroe High School Concert Band,Alan Sturdivant,IV,,III,II,III,I,Excellent,South Central,HS
Mooresville High School Concert Band,Joshua Stevenson,III,,I,I,I,I,Superior,South Central,HS
Mooresville High School Symphonic Band,James Smallwood,IV,,I,I,I,I,Superior,South Central,HS
Mooresville High School Wind Ensemble,Joshua Stevenson,VI,,I,I,I,I,Superior,South Central,HS
Mountain Island Charter Wind Ensemble,Melissa Ray,IV,,II,II,II,I,Excellent,South Central,HS
Mount Pleasant High School Concert Band,Avery Gray,III,,co,co,co,co,Comments,South Central,HS
Mount Pleasant Middle School,Charles Fisher,II,I,I,I,I,I,Superior,South Central,MS
Myers Park High School Symphonic Band,Whit Blount,III,,I,II,I,I,Superior,South Central,HS
Myers Park High School Wind Ensemble,Whit Blount,V,,I,I,I,I,Superior,South Central,HS
North Gaston High School Symphonic Band,Tim Reed,IV,,I,II,II,I,Superior,South Central,HS
Northwest School of the Arts Wind Ensemble,Ashleigh Cook,IV,,II,II,II,I,Excellent,South Central,HS
Parkwood High School Symphonic Band,Jon Sale,IV,,II,III,III,II,Excellent,South Central,HS
Parkwood Middle School,Angela Lachenmayr,II,,II,II,I,I,Superior,South Central,MS
Piedmont Community Charter Middle School,Johnathan Gunter,I/II,,III,II,III,n/a,Average,South Central,MS
Piedmont Community Charter Wind Ensemble,Laradon Pilot,IV,,II,II,II,I,Excellent,South Central,HS
Porter Ridge High School Concert Band,Emmanuel Ross / Patrick Foray,III,,II,II,II,I,Excellent,South Central,HS
Porter Ridge High School Symphonic Band,Emmanuel Ross,IV,,II,II,II,I,Excellent,South Central,HS
Porter Ridge High School Wind Ensemble,Emmanuel Ross,V,,I,I,I,I,Superior,South Central,HS
Porter Ridge Middle School (7th Grade),Patrick Foray,I,,I,I,I,n/a,Superior,South Central,MS
Porter Ridge Middle School (8th Grade),Patrick Foray,II,,I,I,I,I,Superior,South Central,MS
Providence Day Middle School,Michael Hough,III,,II,I,I,II,Superior,South Central,MS
Providence Day Upper School Band,Michael Hough,IV,,II,II,II,I,Excellent,South Central,HS
Providence High School Wind Ensemble,Nicholas Blackwood,V,,I,I,I,I,Superior,South Central,HS
Rea Farms STEAM Academy Middle School,Parker Comella,I/II,,II,II,II,n/a,Excellent,South Central,MS
Roberta Road Middle School,Gregory Dills,II,,I,I,I,I,Superior,South Central,MS
Southeast Middle School (Beginning Band),Nathan Bowman,I,,II,II,II,n/a,Excellent,South Central,MS
Southeast Middle School (8th Grade),Nathan Bowman,I,,III,II,II,n/a,Excellent,South Central,MS
South Mecklenburg High School Concert Band,Crystal Hairston,IV,,III,III,III,I,Average,South Central,HS
South Mecklenburg High School Wind Ensemble,Crystal Hairston,V,,II,II,III,I,Excellent,South Central,HS
South Point High School Symphonic Band,Tim Hamilton,III/IV,,II,II,I,I,Superior,South Central,HS
Southwest Middle School,Eric Myers,II,,I,I,I,I,Superior,South Central,MS
Stuart W. Cramer High School Freshman Band,Kameron Radford,III,,I,I,II,I,Superior,South Central,HS
Stuart W. Cramer High School Wind Ensemble,Kameron Radford,V,,I,I,I,I,Superior,South Central,HS
Sun Valley High School Symphonic Band,Jeff Reynolds,IV/V,,II,III,II,I,Excellent,South Central,HS
Union Academy Middle School,Steve Stevens / Hailey McCollum,II,,I,I,I,I,Superior,South Central,MS
Union Academy Symphonic Band,Steve Stevens / Hailey McCollum,IV,,I,I,I,I,Superior,South Central,HS
Weddington High School Symphonic Band,Mallory Norton,III,,II,II,II,I,Excellent,South Central,HS
Weddington High School Wind Ensemble,Mallory Norton,V/VI,,I,I,I,I,Superior,South Central,HS
West Cabarrus High School Wind Ensemble,Emily McNeil,III/IV,,II,II,II,I,Excellent,South Central,HS
West Rowan High School Wind Ensemble,Katie Howard,III,,II,II,III,I,Excellent,South Central,HS
West Rowan Middle School,Taylor Spakes,I/II,,co,co,co,n/a,Comments,South Central,MS
West Stanley High School Concert Band,Ariel Jones,II/III,,I,I,II,II,Superior,South Central,HS
Cape Fear High School Concert Band,Nathan Hartman,III,,I,II,I,I,Superior,Southeastern,HS
Cape Fear High School Wind Ensemble,Nathan Hartman ,V,,I,I,I,I,Superior,Southeastern,HS
Chinquapin Elementary School Band,Joshua Rodriguez,I,,co,co,co,co,Comments,Southeastern,MS
Clinton High School Band,Geoffrey Tart,IV,,I,I,I,I,Superior,Southeastern,HS
Corinth Holders High School Concert Band,Olivia Spell / Tim Besel,III,,III,III,III,I,Average,Southeastern,HS
Corinth Holders High School Wind Ensemble,Olivia Spell ,VI,,I,I,I,I,Superior,Southeastern,HS
Douglas Byrd High School ,Dominic Hunter,III,,II,III,III,II,Excellent,Southeastern,HS
East Bladen High School Band,Brenda Flowers,II,,I,I,I,I,Superior,Southeastern,HS
East Duplin High School Band,Thomas Seaman,II,,III,III,III,I,Average,Southeastern,HS
East Hoke Middle School Concert Band,Ryan Smith,II,,I,I,I,II,Superior,Southeastern,MS
EE Smith High School Concert Band,Roosevelt Pratt,III/IV,,I,I,I,I,Superior,Southeastern,HS
EE Smith High School Wind Ensemble,Roosevelt Pratt,V/VI,,I,I,I,I,Superior,Southeastern,HS
Gray's Creek High School Band,Thomas Stovall,IV,,II,II,II,II,Excellent,Southeastern,HS
Gray's Creek Middle School Band,Steven Kelly,II,,II,II,II,II,Excellent,Southeastern,MS
Hickory Ridge High School Wind Ensemble,Chris White,VI,,I,I,I,I,Superior,Southeastern,HS
Hobbton High School Band,Albert Dunn,IV,,III,III,III,III,Average,Southeastern,HS
Hoke County High School Wind Ensemble,DeVon Pickett,VI,,I,I,I,I,Superior,Southeastern,HS
Hope Mills Middle School Band,Paul Ingram,I,,III,III,II,n/a,Average,Southeastern,MS
Leland Middle School Band,Jennifer Kirkland,I,,IV,IV,IV,n/a,Below Average,Southeastern,MS
Mac Williams Middle School Concert Band,Felicia MacNaught / Ryan McPhail,I,,I,I,I,n/a,Superior,Southeastern,MS
Mac Williams Middle School Symphonic Band,Felicia MacNaught / Ryan McPhail,II,,I,I,I,I,Superior,Southeastern,MS
Max Abbott Middle School Band,Julie Jordan ,I,,co,co,co,co,Comments,Southeastern,MS
Midway High School Band,Joshua Tew / Jesse Shelton,III,,I,I,I,I,Superior,Southeastern,HS
New Century Middle School Band,Jessica Simmons,II,,III,III,III,I,Average,Southeastern,MS
North Brunswick High School Band,Patrick Barrett,IV,,I,I,I,II,Superior,Southeastern,HS
North Duplin Jr/Sr High School Band,Patrick Tregoning,III,,III,III,III,II,Average,Southeastern,MS
North Moore High School Band,Clay Perry,IV,,I,II,II,I,Superior,Southeastern,HS
Northwood Temple High School Band,John Wright,V/VI,,I,II,II,I,Superior,Southeastern,HS
Northwood Temple Middle School Band,John Wright,II,,II,II,II,II,Excellent,Southeastern,MS
Overhills Middle School Band,Kellie Pedrojew,II,,III,III,III,II,Average,Southeastern,MS
Pinecrest High School Band,Andrew Creech,IV/V,,I,I,I,I,Superior,Southeastern,HS
Pine Forest Middle School Band,Grace Sarris,II,,IV,IV,IV,III,Below Average,Southeastern,MS
Sampson Middle School Band,Vevlyn Lowe,II,,I,I,I,I,Superior,Southeastern,MS
Scotland High School Symphonic Band,Matthew Jorgensen / Gregory Regling,III,,I,I,I,I,Superior,Southeastern,HS
Seventy-First High School Band,Breyon Bratcher,II/III,,II,III,III,II,Excellent,Southeastern,HS
South Brunswick High School Band,Michael Palmer,IV,,I,I,I,I,Superior,Southeastern,HS
South Columbus High School Band,Richard Tyndall,III,,III,II,II,II,Excellent,Southeastern,HS
South Johnston High School Band,Ryan Spell,III,,III,III,III,I,Average,Southeastern,HS
Terry Sanford High School Wind Ensemble,Christopher Langdon,IV,,III,III,III,II,Average,Southeastern,HS
Triton High School Band,Georgia Kate Edgerton,III,,IV,III,III,III,Average,Southeastern,HS
Union Pines High School Concert Band,Rob Hill,III/IV,,I,I,II,I,Superior,Southeastern,HS
Union Pines High School Wind Ensemble,Rob Hill,VI,,I,II,I,I,Superior,Southeastern,HS
West Bladen High School Band ,Christopher Poole,III,,IV,IV,IV,II,Below Average,Southeastern,HS
Western Harnett High School Band,Curtis Collins,IV,,I,I,I,I,Superior,Southeastern,HS
Westover High School Band,Jeremy Ross,III/IV,,II,II,II,I,Excellent,Southeastern,HS
Asheville Christian Academy Concert Band,Alexander Panagiotacos,II,,II,II,II,I,Excellent,Western,MS
Waynesville Middle 7th Grade Concert Band,Samuel Bogan II / Kendra Kirkpatrick,I,,III,III,III,co,Average,Western,MS
West McDowell Middle School Band,John Ballard,I,,II,III,II,n/a,Excellent,Western,MS
Chase Middle School 7th Grade Band,Ryan Kisner / Michael Henderson,I,,III,II,II,n/a,Excellent,Western,MS
Clyde A. Erwin Middle School Band,Christopher La Vignette / Linda Moore,II,,II,II,II,I,Excellent,Western,MS
Chase Middle School 8th Grade Band,Michael Henderson / Ryan Kisner,II,,II,II,II,I,Excellent,Western,MS
T. C. Roberson High School Concert Band,Jenny Lanier,IV,,II,I,I,I,Superior,Western,HS
Asheville Christian Academy Symphonic Band,Alexander Panagiotacos,IV,,II,II,II,I,Excellent,Western,HS
Cane Creek Middle School 8th Grade Symphonic Band,Adam Stewart,III,,II,II,II,I,Excellent,Western,MS
Pisgah High School Symphonic Band,Matt Sanders,IV,,I,I,I,I,Superior,Western,HS
Swain High School Concert Band,Karen Williams Lanning,IV,,I,I,I,I,Superior,Western,HS
Enka High School Symphonic Band,Kevin Young,IV,,II,II,II,I,Excellent,Western,HS
Madison High Symphonic Band,Chris Chandler,IV,,II,I,I,I,Superior,Western,HS
Smoky Mountain High School Concert Band,Alex Larsen,IV,,II,II,I,I,Superior,Western,HS
Brevard High School Wind Symphony,Andrew Jimeson,V,,II,II,II,I,Excellent,Western,HS
T.C. Roberson High School Symphonic Band,Jenny Lanier,VI,,I,I,I,I,Superior,Western,HS
Asheville High School Wind Symphony,Rodney K. Workman,VI,,I,I,I,I,Superior,Western,HS
Charles T. Koontz Intermediate 6th Grade Band,Anna Morris,I,,co,co,co,co,Comments,Western,MS
Enka Middle School 8th Grade Band,Kevin Kimbrough,II,,I,I,I,I,Superior,Western,MS
Waynesville Middle School 8th Grade Symphonic Band,Samuel Bogan II / Kendra Kirkpatrick,II,,II,II,II,I,Excellent,Western,MS
West Henderson HS Concert Band,Allen Klaes,II,,II,I,I,I,Superior,Western,HS
Charles D. Owen High School Select Ensemble,Tyson Hamrick,IV,,II,II,II,I,Excellent,Western,HS
IC Imagine Wind Symphony,Chelsey Montgomery / Jeff Tippins,IV,,co,co,co,co,Comments,Western,HS
Clyde A. Erwin High School Symphonic Band,David Sulzman,IV,,II,II,II,I,Excellent,Western,HS
Swain Middle School 7th and 8th Grade Band,Tim Sale,I,,II,I,I,,Superior,Western,MS
Cane Creek Middle School 7th Grade Concert Band,Adam Stewart,II,,II,II,II,I,Excellent,Western,MS
Polk County Middle School Concert Band,Kimberley Benson,II,,III,III,III,I,Average,Western,MS
Fletcher Academy Academy Band,Carlos Cruz,II,,co,co,co,co,Comments,Western,HS
Chase High School Concert Band,Michael O'Connor,III,,III,III,III,II,Average,Western,HS
Tuscola High School Concert Band,Dillon Ingle / Michael Sanchez,III,,II,II,II,I,Excellent,Western,HS
Rosman Middle & High Schools Symphonic Band,Katerina Canter,III,,III,III,III,II,Average,Western,MS
McDowell High School Symphonic Band,Alyssa Clontz,IV,,III,III,III,II,Average,Western,HS
Tuscola High School Symphonic Band,Dillon Ingle,V,,I,I,I,I,Superior,Western,HS
Enka High School Wind Ensemble,Kevin Young,VI,,II,I,I,I,Superior,Western,HS
A. C. Reynolds High School Symphonic Band,Clif Dodson,VI,,II,II,I,I,Superior,Western,HS
Madison Middle School 7th & 8th Grade Band,Brett Anderson,I,,II,II,II,n/a,Excellent,Western,MS
Asheville Christian Academy Band,Karen Whitley,I,,IV,IV,IV,n/a,Below Average,Western,MS
Joe P. Eblen Intermediate School 6th Grade Beginning Band,Linda Moore,I,,III,III,III,n/a,Average,Western,MS
Cane Creek Middle School 6th Grade Beginning Band,Adam Stewart,I,,II,II,II,n/a,Excellent,Western,MS
Canton Middle School Concert Band,Nicolo Iorio,II,,co,co,co,co,Comments,Western,MS
Montford North Star Academy 8th Grade Band,Kelly Saunders,II,,II,II,II,I,Excellent,Western,MS
Apple Valley Middle School Band,Ryan Summers,II,,II,I,I,I,Superior,Western,MS
East Henderson High School Band,Colton Stewart,IV,,II,II,II,I,Excellent,Western,HS
Asheville High School Symphonic Band,JaQuan O. Wiley,V,,II,I,I,I,Superior,Western,HS
Hendersonville Middle School 8th Grade Band,Daniel Dickens,II,,I,I,I,I,Superior,Western,MS
Enka Middle School 7th Grade Band,Kevin Kimbrough,II,,II,II,II,I,Excellent,Western,MS
North Buncombe Middle School Concert Band,James Bannish,II,,co,co,co,co,Comments,Western,MS
North Henderson HS Concert Band,Steve Sigmon,IV,,II,II,II,I,Excellent,Western,HS
A. C. Reynolds High School Concert Band,Clif Dodson,IV,,II,I,I,I,Superior,Western,HS
North Buncombe High School Concert Band,Nathan Brown,V,,I,I,I,I,Superior,Western,HS
West Henderson High School Wind Ensemble,Allen Klaes,V,,II,II,II,I,Excellent,Western,HS
North Henderson High School Wind Ensemble,Steve Sigmon,VI,,II,II,II,I,Excellent,Western,HS
